tags,visible,lon,lat,version,timestamp,id,changeset,depot,industrial,landuse,military,residential,osm_type,basin,construction,farmyard,grass,port,railway
"{""visible"":false,""alt_name"":""Sabarmati Thermal Power Station"",""name"":""AMGEN"",""operator"":""Torrent Power"",""plant:method"":""combustion"",""plant:output:electricity"":""362 MW"",""plant:source"":""coal"",""power"":""plant"",""wikidata"":""Q17747162""}",,,,11,1718016549,29492754,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""ICD Khodiyar depot""}",,,,2,1553501160,116801086,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,3,1547590415,137989387,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Kathwada GIDC""}",,,,2,1474883205,244328439,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,3,1709814967,244328441,,,,industrial,,,way,,,,,,
"{""visible"":false,""addr:city"":""Ahmedabad"",""addr:country"":""IN"",""addr:postcode"":""380026"",""addr:street"":""Shri Khandubhai Desai Marg"",""name"":""New Cotton Mills""}",,,,3,1724062708,318501827,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,4,1731468767,321003774,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Odhav industrial estate""}",,,,2,1474883537,321003775,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1420737901,321003776,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Vatva GIDC""}",,,,2,1474883137,321003777,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1420737901,321003778,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Vatva Gidc""}",,,,3,1474883110,321003779,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Odhav industrial estate""}",,,,5,1731468763,321003780,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,3,1709698772,321003781,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Naroda GIDC""}",,,,3,1612766360,321003782,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1420737902,321003784,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1420737902,321003785,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1420737902,321003786,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Odhav industrial estate""}",,,,3,1474883511,321003787,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,2,1425309206,321136513,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,4,1505899456,321136514,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,6,1508508121,321136515,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Calico Mills compound"",""wikidata"":""Q5019859"",""wikimedia_commons"":""Category:Calico Mills"",""wikipedia"":""en:Calico Mills""}",,,,4,1696879081,321136516,,,textile,industrial,,,way,,,,,,
"{""visible"":false}",,,,3,1598458876,321136518,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Piplaj""}",,,,2,1478342568,321136520,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,9,1698060721,321136521,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""GOVERMENT GODOWN""}",,,,2,1478597252,321136522,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1420818912,321136523,,,,industrial,,,way,,,,,,
"{""visible"":false,""description"":""coal storage""}",,,,1,1422052048,323895532,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423202279,326674328,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Transport Workshop""}",,,,1,1423203731,326676640,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Ankur Textile""}",,,,2,1478343024,326682666,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423208046,326682670,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423208046,326682672,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423208047,326682673,,,,industrial,,,way,,,,,,
