name,competitor_type,sub_category,lat,lon,visible
Brahmani Traders,schools,General Educational School,22.99855,72.54363,True
Dhaval Sir's Academy,schools,General Educational School,22.99302,72.54424,True
Skill Stride Institute,schools,General Educational School,22.98016,72.54616,True
Dodiya Group Tuition,schools,Coaching & Entrance Institute,22.99904,72.54498,True
Little Star Child Care Centre,schools,Primary & Pre-School,22.99777,72.54819,True
Sarsavati Primary School,schools,Primary & Pre-School,22.92831,72.54358,True
Pipalj Primary School,schools,Primary & Pre-School,22.95548,72.54981,True
Satyam School,schools,Secondary & High School,22.99732,72.54943,True
CDAC Vasna,schools,General Educational School,22.99806,72.55084,True
Shiv Primary School,schools,Primary & Pre-School,22.99733,72.55151,True
Ruth Memorial School,schools,Secondary & High School,22.99588,72.55264,True
H3 Preschool Paldi,schools,Primary & Pre-School,22.99808,72.5547,True
Angel English School,schools,Secondary & High School,22.99655,72.55794,True
Gurukrupa Classes,schools,Coaching & Entrance Institute,22.95241,72.55686,True
Pipalaj Play Sater School,schools,Secondary & High School,22.95296,72.55793,True
Sajipur primary school,schools,Primary & Pre-School,22.96081,72.55904,True
Sunrise Nursery,schools,Primary & Pre-School,22.98546,72.5595,True
Abad Nursery,schools,Primary & Pre-School,22.98617,72.55928,True
Amardeep Primary and High School,schools,Secondary & High School,22.99833,72.55991,True
Indian Astronomy Club,schools,General Educational School,22.99832,72.56084,True
Ashwamegh Industrial,schools,General Educational School,22.97476,72.56136,True
"Fluent English Classes By Rounak shah,Paldi,Ahmedabad",schools,Coaching & Entrance Institute,22.99828,72.56291,True
श्री स्वामीनारायण विधाधाम - हाथीजण।,schools,General Educational School,22.95338,72.56307,True
A One Tuition and Computer Classes,schools,Coaching & Entrance Institute,22.93172,72.56507,True
Lambha Primary School,schools,Primary & Pre-School,22.93359,72.57561,True
Behrampura Municipal Saraswati Mandir,schools,General Educational School,22.99143,72.56976,True
Brighton School Gujarati Medium,schools,Secondary & High School,22.98016,72.57018,True
Shahbaz Education,schools,General Educational School,22.99852,72.57196,True
Shanti Juniors Narol Ahmedabad,schools,General Educational School,22.96258,72.5801,True
Chirag High School And Higher Secondary,schools,Secondary & High School,22.98235,72.5774,True
Alif Academy,schools,General Educational School,22.98213,72.57741,True
